name,lat,lng,count
"pasadena, california",34.1476452,-118.1444779,5
"evanston, il",42.0447388,-87.6930459,5
"new haven, ct",41.3082138,-72.9250518,6
"providence, ri",41.8239891,-71.4128343,11
"stanford, california",37.427467,-122.1702445,27
"pittsburgh, pa",40.4416941,-79.9900861,5
"state college, pa",40.7944504,-77.8616386,4
"east lansing, mi",42.7355416,-84.4852469,3
"princeton, nj",40.3492744,-74.6592958,4
"portland, or",45.5202471,-122.6741949,2
"buffalo, ny",42.8867166,-78.8783922,2
"austin, tx",30.2711286,-97.7436995,2
"san antonio, tx",29.4246002,-98.4951405,1
"berkeley, california",37.8708393,-122.2728639,10
"lexington, ky",38.0464066,-84.4970393,2
"santa clara, california",37.2333253,-121.6846349,3
"atlanta, ga",33.7490987,-84.3901849,6
"chapel hill, nc",35.9131542,-79.05578,2
"los alamos, nm",35.8814009,-106.2989958,10
"albuquerque, nm",35.0841034,-106.6509851,8
"notre dame, in",41.704567749999995,-86.23822026017265,2
"phoenix, az",33.4484367,-112.0741417,2
"armonk, ny",41.1330485,-73.71262371614495,1
"new york, ny",40.7127281,-74.0060152,17
caulfield east vic 3145 australia,-37.881276,145.0420847,1
"huntsville, al",34.729847,-86.5859011,1
"kanpur, india",26.4609135,80.3217588,1
"kathmandu 44600, nepal",27.708317,85.3205817,1
"london, united kingdom",51.5073219,-0.1276474,2
"chicago, il",41.8755616,-87.6244212,7
"cambridge, ma",42.3750997,-71.1056157,10
"iowa city, ia",41.6612561,-91.5299106,1
"blacksburg, va",37.2296566,-80.4136767,2
"reading, united kingdom",51.456659,-0.9696512,1
"los angeles, california",34.0536909,-118.2427666,2
"washington, dc",38.8949855,-77.0365708,8
"newark, de",39.6852191,-75.7508289,2
"bloomington, in",39.1670396,-86.5342881,2
"bellevue, wa",47.6144219,-122.1923372,1
"oak ridge, tn",36.0103562,-84.2696449,14
"urbana, il",40.1117174,-88.207301,12
"seattle, wa",47.6038321,-122.3300624,12
"minneapolis, mn",44.9772995,-93.2654692,2
"golden, co",39.755543,-105.2210997,6
"madison, wi",43.074761,-89.3837613,8
"houston, tx, usa",29.7589382,-95.3676974,3
"charlottesville, va",38.029306,-78.4766781,2
"livermore, california",37.6820583,-121.7680531,7
